"7 Апреля 2019 [11 45]" "8 апреля в горах Дагестана выше 2500 м  в горах Республики Алтай лавиноопасно "
"22 Января 2018 [11 37]" "23 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  Дагестана выше 1500 м лавиноопасно "
"22 Января 2018 [11 32]" "Во второй половине дня 22 января с сохранением в течение суток 23 января в Крыму ожидаются сильные и очень сильные осадки  дождь  мокрый снег  снег   сильное гололедно-изморозевое отложение  туман  гололедица  метель  ветер до 25 м/с "
"22 Января 2018 [09 00]" "В период с 23 по 25 января в г  Новосибирск  Томск  Кемерово  Барнаул и Когзыл-Озек ожидается отклонение среднесуточной температуры на 15-19° ниже климатической нормы "
"22 Января 2018 [08 30]" "24-25 января в северных и центральных районах  на севере южных районов Сахалина ожидается сильный снег  7-19 мм за 12 час   сильная метель  видимость менее 500 м   ветер 22-27 м/с  на побережьях порывы 33-35 м/с  ураган   лавиноопасно "
"22 Января 2018 [01 10]" "В ночь с 21 на 22 января  а также утром и в первой половине дня 22 января в юго-западных районах Калмыкии и в г  Элиста ожидается сильное гололедно-изморозевое отложение "
"21 Января 2018 [20 10]" "22-23 января в Тыве ожидается сильный мороз  температура -50   -45°  "
"21 Января 2018 [17 20]" "ОТМЕНА ОТМЕНА  до конца суток 21 января  ночью и утром 22 января местами в северо-восточных районах Калмыкия сильное гололедно-изморозевое отложение не ожидается  штормовое предупреждение отменяется "
"21 Января 2018 [13 25]" "С 18 часов 21 января до 18 часов 22 января в горах Карачаево-Черкесии  Кабардино-Балкарии и Северной Осетии выше 1000 м и в горах Дагестана выше 1500 м лавиноопасно  С 18 часов 21 января до 18 часов 24 января в горах Краснодарского края и Адыгеи выше 1000 м  в горах Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"21 Января 2018 [11 10]" "22-23 января в связи с выходом южного циклона в Крыму ожидаются сложные погодные условия  сильные дожди  мокрый снег  снег  местами очень сильные осадки  отложение мокрого снега  туман  гололед  гололедица  метель  усиление северо-восточного ветра 15-20 м/с  порывы до 25 м/с "
"21 Января 2018 [11 05]" "22 января в Красноярском крае в Эвенкийском муниципальном районе сохранится  в Туруханском муниципальном районе ожидается сильный мороз  температура -55   -50°  "
"21 Января 2018 [10 53]" "В ближайшие 1-3 часа и до конца суток 21 января  ночью и утром 22 января в Кабардино-Балкарии  преимущественно в горных районах  ожидается очень сильный юго-восточный ветер 30 м/с  "
"20 Января 2018 [16 35]" "Ночью и утром 21 января в Крыму  в связи с прохождением балканского циклона  ожидаются сильные дожди с мокрым снегом  местами очень сильные осадки  усиление ветра до 17-22 м/с  "
"20 Января 2018 [16 35]" "Ночью и утром 21 января в Крыму  в связи с прохождением балканского циклона  ожидаются сильные дожди с мокрым снегом  местами очень сильные осадки  усиление ветра до 17-22 м/с  "
"20 Января 2018 [12 48]" "21 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  выше 1000 м   Дагестана  выше 1500 м  лавиноопасно "
"20 Января 2018 [08 15]" "21 января в Таймырском Долгано-Ненецком муниципальном районе Красноярского края сохранится сильный мороз  температура до -50° и ниже   "
"20 Января 2018 [08 15]" "20 января в Таймырском Долгано-Ненецком муниципальном районе Красноярского края сохранится сильный мороз  температура до -53°   "
"19 Января 2018 [13 20]" "20 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  выше 1000 м   Дагестана  выше 1500 м  лавиноопасно "
"19 Января 2018 [13 20]" "20 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  выше 1000 м   Дагестана  выше 1500 м  "
"19 Января 2018 [12 55]" "20-25 января в Свердловской  21-26 января в Курганской областях ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7-10°  сильный мороз  минимальная температура до -40°   21-26 января на юге Тюменской области аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более  "
"19 Января 2018 [09 10]" "20-24 января в Хакасии и в г  Абакане ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 12-17°  в Хакасии местами сильный мороз  минимальная температура -45°  "
"19 Января 2018 [09 06]" "21-26 января в Омской области аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 10° и более  местами сильный мороз  минимальная температура -40° и ниже  "
"19 Января 2018 [07 00]" "20-21 января в Туруханском муниципальном районе Красноярского края местами ожидается сильный мороз  температура ночью -55   -50°   20-24 января в Новосибирской  Кемеровской областях местами ожидается сильный мороз  температура ночью до -40° и ниже   21-24 января в Республике Алтай ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 15-20°  местами сильный мороз  температура ночью до -40° и ниже "
"18 Января 2018 [12 56]" "19 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  выше 1000 м   Дагестана  выше 2000 м   19-21 января в горах Краснодарского края  Адыгеи  выше 1000м   Ингушетии  Чеченской Республики  выше 15000 м   18-20 января в горах Сочи  выше 1500 м  лавиноопасно "
"18 Января 2018 [12 07]" "19-21 января в Пермском крае ожидается сильное сложное отложение  сильная изморозь "
"18 Января 2018 [12 04]" "19-23 января в Ямало-Ненецком  Ханты-Мансийском автономных округах ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более  сильный мороз  температура до -45° и ниже  "
"18 Января 2018 [12 00]" "19-24 января в центральных и южных районах Красноярского края сильный мороз  температура -48   -43°  на севере центральных районов до -53°   19-26 января в Красноярске аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 15-20° "
"18 Января 2018 [10 04]" "В связи с вторжением холодной арктической массы 22-26 января в Приморском крае ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более  в отдельные ночи ожидается сильный мороз  в южных и восточных районах -35° и ниже  в западных районах -40° и ниже  в центральных районах -43° и ниже   "
"17 Января 2018 [17 35]" "До конца суток 17 января  ночью и днем 18 января местами в Кировской области сохранится сильное сложное гололедно-изморозевое отложение  диаметр 35 мм и более    "
"17 Января 2018 [17 20]" "17-19 января на севере Таймырского Долгано-Ненецкого муниципального района Красноярского края сохраняется сильный мороз  температура -45   -40°  местами -55   -50°   "
"17 Января 2018 [13 45]" "17-22 января в южных районах Челябинской области ожидается аномально холодная погода со среднесуточными температурами воздуха ниже климатической нормы на 7 градусов и более "
"17 Января 2018 [11 16]" "19-23 января в Иркутской области ожидаются сильные морозы с минимальной температурой воздуха -45   -40°  местами -53   -48°  в северных и верхнеленских районах до -56°  19-23 января в г  Иркутск ожидается аномально холодная погода со среднесуточной температурой воздуха на 7-12° ниже климатической нормы "
"17 Января 2018 [10 37]" "С 18 часов 17 января до 18 часов 18 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м и в горах Дагестана выше 2000 м лавиноопасно "
"17 Января 2018 [10 28]" "18 января и в ночь на 19 января в Бурятии ожидается снег  сильный ветер с порывами до 22 м/с  метель  снежные заносы  понижение температуры на 10° и более "
"17 Января 2018 [10 20]" "Во второй половине дня 17 и ночью 18 января в центральных и южных районах Красноярского края и в Хакасии ожидаются порывы очень сильного северо-западного ветра 15-20 м/с  местами 25-27 м/с  снег  метель "
"17 Января 2018 [07 21]" "18 января на северо-востоке Томской области  19-24 января на большей части Томской области  20-24 января в Новосибирской  Кемеровской областях  21-24 января в Алтайском крае ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более  минимальная температура до -35° и ниже   в Томской области и Алтайском крае местами ожидается сильный мороз  температура до -40° и ниже  "
"16 Января 2018 [20 30]" "В ближайшие 1-3 часа 16 января и в течение суток 17 января в Крыму местами ожидаются очень сильные осадки  снег  мокрый снег  переходящий в дождь  "
"16 Января 2018 [13 36]" "17 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  Дагестана выше 2000 м лавиноопасно "
"16 Января 2018 [13 29]" "Вечером 16 января и в течение суток 17 января в центральных и южных районах Красноярского края  Хакасии ожидаются порывы очень сильного западного ветра 15-20 м/с  местами 25-27 м/с  снег  метель "
"16 Января 2018 [07 40]" "в ближайший час с сохранением до конца суток 16 и 17 января в Башкортостане ожидается сильное гололедно-изморозевое отложение "
"15 Января 2018 [16 20]" "16 – 21 января в Эвенкийском муниципальном районе Красноярского края ожидается сильный мороз  температура воздуха местами -55 градусов и ниже "
"15 Января 2018 [15 55]" "Вечером 15 января с сохранением в течение суток 16 января в Пермском крае ожидается сильное сложное отложение "
"15 Января 2018 [10 45]" "16 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  Дагестана выше 2000 м  16-18 января в горах Ингушетии  Чеченской Республики лавиноопасно "
"15 Января 2018 [10 40]" "16-18 января в горах Краснодарского края и Адыгее выше 1000 м лавиноопасно "
"15 Января 2018 [06 53]" "15 января в Ямало-Ненецком автономном округе ожидается сильный снег  метель  ветер 20-25 м/с "
"14 Января 2018 [21 57]" "С 21 30 МСК 14 января на юге Таймырского Долгано-Ненецкого муниципального округа Красноярского края ожидается сильный мороз  температура ночью -50° и ниже  "
"14 Января 2018 [13 15]" "ОТМЕНА  До конца суток 14 января в районе Новороссийска очень сильный ураганный 35-38 м/с не ожидается  Сохранится сильный северо-восточный ветер 22-27 м/с "
"14 Января 2018 [08 45]" "Вечером 14 декабря и в течение суток 15 января по центральным и южным районам Красноярского края и в Хакасии ожидаются порывы очень сильного западного ветра 15-20 м/с  местами 25-27 м/с  снег  метель "
"13 Января 2018 [12 33]" "15 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  а также в горах Дагестана выше 2000 м лавиноопасно "
"13 Января 2018 [12 33]" "15 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  а также в горах Дагестана выше 2000 м лавиноопасно "
"13 Января 2018 [12 27]" "С 18 часов 13 января до 18 часов 14 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  а также в горах Дагестана выше 2000 м лавиноопасно "
"12 Января 2018 [16 37]" "14-19 января на севере Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается сильный мороз  температура ночью -45   -40°  местами -53   -48°  "
"12 Января 2018 [12 04]" "13 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  выше 1000 м   Дагестана  выше 2000 м   13-15 января в горах Краснодарского края  Адыгеи  выше 1000 м   Ингушетии  Чеченской Республики  выше 1500 м  лавиноопасно "
"12 Января 2018 [11 11]" "13  14  15 января в связи с вторжением арктического холодного воздуха в Крыму ожидаются сложные погодные условия  снег  14 и 15 января местами сильный  метель  на дорогах гололедица  усиление северо-восточного ветра 17-22 м/с  13 и 14 января порывы до 25 м/с "
"11 Января 2018 [20 00]" "12 января в центральных и южных районах Красноярского края и в Хакасии ожидается ветер 23-25 м/с "
"11 Января 2018 [14 34]" "12 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  Дагестана выше 2000 м лавиноопасно "
"11 Января 2018 [09 56]" "12 января в Новосибирской  Томской  Кемеровской областях  Алтайском крае и Республике Алтай снег в Новосибирской  Томской областях ночью сильный   метель  ветер юго-западный 25-30 м/с  в горах и на перевалах Республики Алтай до 35 м/с "
"11 Января 2018 [06 56]" "В ближайшие 2 часа с сохранением днем 11 января в южной половине Омской области местами ожидается сильный снег  метель  ветер 22-27 м/с  на дорогах снежные заносы "
"10 Января 2018 [10 56]" "11 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии выше 1000 м  Дагестана выше 2000 м лавиноопасно "
"10 Января 2018 [10 25]" "Днем 11 января с сохранением в течение суток 12 января в Новосибирской  Томской  Кемеровской областях  Алтайском крае  Республике Алтай ожидаются осадки  снег  мокрый снег  на юге дождь   местами сильный снег  метель  гололедные явления  ветер 17-22 м/с  местами 25-30 м/с  по высокогорью Республики Алтай до 33 м/с  на дорогах заносы  сильная гололедица  Похолодание "
"9 Января 2018 [09 05]" "Вечером 9 января и в первой половине ночи 10 января в Южно-Курильском и Курильском районах  Курильские острова  ожидается западный ветер 33-38 м/с  ураган  сильная метель  видимость менее 500 метров "
"9 Января 2018 [09 05]" "Вечером 9 января и в первой половине ночи 10 января в Южно-Курильском и Курильском районах  Курильские острова  ожидается западный ветер 33-38 м/с  ураган  сильная метель  видимость менее 500 метров "
"9 Января 2018 [09 05]" "10 января с утра в Южно-Курильском и Курильском районах ожидается западный ветер 33-38 м/с  ураган  сильная метель  видимость менее 500 метров "
"9 Января 2018 [07 55]" "УТОЧНЕНИЕ  9 января в южных районах Сахалина и в городе Южно-Сахалинске ожидается сильный и очень сильный снег  7-19 мм  местами 20 мм и более за 12 ч   сильная метель  видимость менее 500 м  ветер 20-25 м/с  лавиноопасно "
"8 Января 2018 [17 08]" "9 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1000 м лавиноопасно  "
"8 Января 2018 [08 45]" "9 января в южных районах Сахалина ожидается сильный снег  7-19 мм   на востоке очень сильный  20 мм и более за 12 ч   метель  видимость менее 500 м  ветер 18-23 м/с "
"8 Января 2018 [06 30]" "С 15-19 ч мск с сохранением до конца суток 8 января и 9 января в Беринговом море  районе 11320  подрайоне 11314 ожидается опасное волнение 8-10 м "
"8 Января 2018 [06 15]" "В ближайшие 10-12 ч с сохранением до конца суток 8 января и 9 января в Приморском крае ожидается сильный и очень сильный снег с количеством 20 мм за 12 ч и менее  гололедные явления  на побережье метель при ветер 18-23 м/с "
"7 Января 2018 [12 45]" "В ближайшие 10-12 ч с сохранением ночью и днем 8 января в районе 01  подрайоне 27  север побережья Норвегии   в подрайоне 26  юго-запад Баренцева моря  ожидается опасное волнение 8-9 м при ветер 22-27 м/с "
"7 Января 2018 [11 20]" "8 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана лавиноопасно  "
"7 Января 2018 [11 10]" "До конца суток 7 января  ночью и утром 8 января в юго-западных районах Калмыкии сохранится сильное гололедно-изморозевое отложение "
"7 Января 2018 [11 10]" "До конца суток 7 января  ночью и утром 8 января в юго-западных районах Калмыкии сохранится сильное гололедно-изморозевое отложение "
"6 Января 2018 [12 38]" "7 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана  7-9 января в горах Краснодарского края  Адыгеи выше 1000 м  Ингушетии  Чеченской Республики выше 1500 м лавиноопасно  "
"6 Января 2018 [12 29]" "Ночью и утром 7 января в юго-западных районах Калмыкии и в Элисте сохранится сильное гололедно-изморозевое отложение "
"5 Января 2018 [20 26]" "6 января В горах Краснодарского края  Адыгеи  выше 1000 м   Ингушетии  Чеченской Республики  выше 1500 м  лавиноопасно "
"5 Января 2018 [16 30]" "6 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 1000 м лавиноопасно  "
"5 Января 2018 [14 19]" "До конца суток 5 января  ночью и утром 6 января в юго-западных районах Калмыкии и в Элисте сохранится сильное гололедно-изморозевое отложение "
"5 Января 2018 [02 06]" "В ближайшие 2-3 часа и утром 5 января в Крыму местами ожидается сильный туман  видимость 50 м и менее  "
"4 Января 2018 [17 08]" "До конца суток 4 января  ночью с 4 на 5 января и утром 5 января в юго-западных районах Калмыкии и в г Элисте сохранится сильное гололедно-изморозевое отложение "
"4 Января 2018 [17 06]" "5-7 января местами в горно-восточных районах Пермского края ожидается сильная изморозь  50 мм и более  "
"4 Января 2018 [10 27]" "5 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 1000 м лавиноопасно  "
"3 Января 2018 [22 50]" "4 января в Таймырском Долгано-Ненецком муниципальном районе Красноярского края сохранится ветер 22-27 м/с  снег  метель "
"3 Января 2018 [22 50]" "4 января на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края сохранится ветер 22-27 м/с  снег  метель "
"3 Января 2018 [16 25]" "В ближайший час с сохранением до конца суток 3 января  ночью и днем 4 января в Калмыкии ожидается сильное гололедно-изморозевое отложение "
"3 Января 2018 [11 05]" "4 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Ингушетии  Чеченской Республики  Дагестана лавиноопасно  "
"3 Января 2018 [10 55]" "4 января в горах Краснодарского края и Адыгеи лавиноопасно  "
"3 Января 2018 [10 55]" "4 января в горах Краснодарского края и Адыгеи лавиноопасно  "
"2 Января 2018 [12 30]" "3 января в горах Краснодарского края  Адыгеи  Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана выше 1000 м  Ингушетии  Чеченской Республики выше 1500 м лавиноопасно  "
"2 Января 2018 [12 14]" "3-7 января на юге Республики Алтай аномально холодная погода со среднесуточной температурой ниже климатической нормы на 8-12°  минимальная температура до -35° и ниже  "
"2 Января 2018 [08 25]" "2-3 января на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края сохраняется снег  метель  ветер 22-27 м/с "
"2 Января 2018 [08 17]" "3-6 января в г  Новосибирск  Кемерово  Барнаул  Кызыл-Озек  4-6 января в г  Томск ожидается отклонение среднесуточной температуры на 8   12° ниже климатической нормы  норма этого периода составляет -11   -16°  "
"2 Января 2018 [08 10]" "В ближайшие 1-3 часа и до конца дня 2 января в горных и предгорных районах Северной Осетии ожидается сильное налипание мокрого снега на проводах и деревьях "
"1 Января 2018 [11 30]" "С 18 часов 1 января до 18 часов 2 января в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно  С 18 часов 1 января до 18 часов 2 января в горах Сочи выше 1500 м лавиноопасно  "
"1 Января 2018 [10 00]" "В период 07-10 всв 1 января с продолжительностью в течение 18 часов в Чукотском автономном округе на побережье Иультинского района в районе Эгвекинота ожидается усиление северного ветра 28-33 м/с с порывами 33-38 м/с с метелью "
"31 Декабря 2017 [13 36]" "1-3 января в горах Краснодарского края  Адыгеи  выше 1500 м   Ингушетии  Чеченской Республики  1 января Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии  Дагестана  выше 1500 м  лавиноопасно  "
"31 Декабря 2017 [06 55]" "В ближайший час с сохранением днем 31 декабря в Челябинской области ожидается сильное гололедно-изморозевое отложение "
"31 Декабря 2017 [06 10]" "В ближайший час с сохранением днем 31 декабря в Омской области ожидается сильное гололедно-изморозевое отложение "
"30 Декабря 2017 [20 05]" "В ближайшие 1-2 часа с сохранением в течение суток 31 декабря в Башкортостане ожидается сильное отложение "
"30 Декабря 2017 [16 55]" "В ближайший час с сохранением до конца суток 30 декабря  ночью и утром 31 декабря в Башкортостане ожидается сильный туман с видимостью 50 м и менее "
"30 Декабря 2017 [12 45]" "30 декабря 2017 г  с 15 00 мск с сохранением до конца суток и ночью 31 декабря на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается очень сильный ветер 21-26 м/с "
"30 Декабря 2017 [12 45]" "31 декабря 2017 г  с 15 00 мск на юге ТаймырскогоДолгано-Ненецкого муниципального района Красноярского края ожидается очень сильный ветер 21-26 м/с "
"30 Декабря 2017 [12 45]" "31 декабря 2017 г  с 15 00 мск с сохранением до конца суток и ночью 31 декабря на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается очень сильный ветер 21-26 м/с "
"30 Декабря 2017 [07 50]" "31 декабря 2017 г  и 1 января 2018 г  в южной половине Приморского края ожидается снег на юге и юго-востоке днем 31 декабря и ночью 1 января местами сильный  6-19 мм осадков за 12 час и менее   В северной половине края снег  гололед  метель  на побережье ветер 20-25 м/с "
"30 Декабря 2017 [07 00]" "30-31 декабря в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"29 Декабря 2017 [17 16]" "Вечером 29 декабря  ночью и утром 30 декабря в Башкортостане и в Уфе ожидается сильный туман  видимость 50 м и менее  "
"29 Декабря 2017 [09 00]" "Во второй половине дня 29 - ночью 30 декабря в Алтайском крае ожидается снег  мокрый снег  временами сильный  гололедные явления  метели  усиление ветра 15-20 м/с  по югу порывы до 25 м/с  На дорогах снежные заносы  сильная гололедица "
"28 Декабря 2017 [12 30]" "С 18 часов 28 декабря до 18 часов 29 декабря в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно  С 18 часов 28 декабря до 18 часов 31 декабря в горах Краснодарского края и Адыгеи выше 1000 м  в горах Ингушетии и Чеченской республики выше 1500 м лавиноопасно "
"28 Декабря 2017 [06 00]" "29-31 декабря в горных районах Камчатского края  по территории Усть-Большерецкого  Соболевского  Елизовского районов  Кроноцкого заповедника Быстринского  Мильковского и Усть-Камчатского районов  в районе г  Петропавловск-Камчатский  вулканов Вилючинский  Козельский  Корякский  Авачинский  лавиноопасно "
"27 Декабря 2017 [19 55]" "В ближайший час 27 декабря с сохранением до конца суток и ночью 28 декабря на юге Новосибирской области ожидается снег  местами сильный  метели  отложение мокрого снега  усиление ветра до 15-20 м/с  местами до 25 м/с  на дорогах сильная гололедица  снежные заносы "
"27 Декабря 2017 [19 55]" "В ближайший час 27 декабря с сохранением до конца суток и ночью 28 декабря на юге Новосибирской области ожидается снег  местами сильный  метели  отложение мокрого снега  усиление ветра до 15-20 м/с  местами до 25 м/с  на дорогах сильная гололедица  снежные заносы "
"27 Декабря 2017 [09 25]" "31 декабря - 1 января в Приморском крае ожидается сильный снег  местами очень сильный снег  общее количество выпавшего снега может составить 1-3 месячных нормы   гололедные явления  местами сильные  метели  усиление ветра до 15-20 м/с  на побережье до 27 м/с  на дорогах гололедица и снежные заносы "
"27 Декабря 2017 [09 10]" "Ночью 28 декабря в Кемеровской области  в течение суток 28 декабря в Республике Алтай ожидается снег  местами сильный  метель  отложение мокрого снега  ветер 15-20 м/с  местами до 25 м/с  по высокогорью Республики Алтай 28-33 м/с  на дорогах снежные заносы  сильная гололедица "
"27 Декабря 2017 [08 40]" "27-28 декабря в Алтайском крае ожидается снег  местами сильный  метель  отложение мокрого снега  ветер 15-20 м/с  снежные заносы  сильная гололедица "
"27 Декабря 2017 [08 40]" "27-28 декабря в Алтайском крае ожидается снег  местами сильный  метель  отложение мокрого снега  ветер до 27 м/с  снежные заносы  сильная гололедица "
"26 Декабря 2017 [19 40]" "27 декабря в горах Республики Алтай лавиноопасно "
"26 Декабря 2017 [13 15]" "В период с 18 час 26 декабря до 18 час 27 декабря в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно "
"26 Декабря 2017 [10 15]" "26-28 декабря в центральных и северных районах Хабаровского края сильный снег  метель  днем 26 и ночью 27 декабря усиление ветра на побережье Татарского пролива до 25-30 м/с  по долинам рек 23-28 м/с "
"26 Декабря 2017 [01 50]" "В ближайший час с сохранением до конца суток 26 декабря в высокогорных районах Республики Алтай снег  мокрый снег  метель  гололед  ветер 27-32 м/с "
"25 Декабря 2017 [17 25]" "В период с 18 часов 25 декабря до 18 часов 26 декабря в горах Карачаево-Черкесии  Кабардино-Балкарии  Северной Осетии и Дагестана выше 1500 м лавиноопасно  В период с 18 часов 25 декабря до 18 часов 28 декабря в горах Краснодарского края и Адыгеи выше 1000 м  в горах Ингушетии и Чеченской Республики выше 1500 м лавиноопасно  "
"15 Декабря 2017 [11 46]" "15-20 декабря в южных районах Курганской области ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более "
"14 Декабря 2017 [14 09]" "До конца дня 14 с сохранением 15 декабря в Таймырском Долгано-Ненецком муниципальном районе Красноярского края снег  метель  ветер 22-27 м/с "
"14 Декабря 2017 [12 25]" "15 декабря в горах Краснодарского края  Адыгеи выше 1500 м лавиноопасно "
"14 Декабря 2017 [12 23]" "14-18 декабря в южных районах Челябинской области ожидается аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более "
"14 Декабря 2017 [07 06]" "15-20 декабря по юго-востоку Республики Алтай местами ожидается аномально-холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7° и более "
"14 Декабря 2017 [07 02]" "КМЯ  В ближайшие 2-3 часа с сохранением до конца дня 14 декабря в Саратовской области местами ожидается гололед и усиление ветра порывами 15-18 м/с "
"13 Декабря 2017 [14 50]" "С 00 часов МСК 14 декабря на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края местами ожидается снег  метель  видимость менее 1000 м   ветер 22-27 м/с "
"13 Декабря 2017 [13 25]" "14 декабря в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"13 Декабря 2017 [12 41]" "Ночью и днем 14 декабря в Саратовской области сохранится сильный гололед "
"12 Декабря 2017 [13 52]" "В период с 13 декабря по 18 декабря местами в восточной половине Оренбургской области ожидается аномально-холодная погода с отклонением среднесуточной температуры воздуха ниже климатической нормы на 9 градусов и более "
"12 Декабря 2017 [13 45]" "Ночью и днем 13 декабря местами в Саратовской области сохранится сильный гололед 20 мм и более "
"12 Декабря 2017 [12 30]" "С 18 ч 12 декабря до 18 ч 13 декабря в горах Краснодарского края  Адыгеи  Ингушетии и Чеченской Республики выше 1500 м лавиноопасно "
"11 Декабря 2017 [14 15]" "12 декабря в центральных районах Красноярского края местами ожидается сильное гололедно-изморозевое отложение  диаметром 35 мм и более  "
